t,x,y,z,vx,vy,vz,ax,ay,az,type
0.0,0.3,0.0,0.05,0.0,0.0,0.0,1.325499060410036,-0.41710957288241246,0.5495198942194883,0
0.008,0.300042172158951,-1.3274081622276146e-05,0.05001742384810447,0.010512563365006914,-0.0033093423168239055,0.004335863462296434,1.3026417808416926,-0.4102260063235639,0.5344459713546202,0
0.016,0.300167713391876,-5.280262764926038e-05,0.05006905223837563,0.020842268493467084,-0.006563616101177023,0.008551135541673924,1.2797845012733493,-0.40334243976471534,0.5193720484897522,0
0.024,0.3003751608328824,-0.0001181450898211864,0.05015392043975013,0.030989115385380503,-0.00976282135305935,0.01264581623813247,1.2569272217050058,-0.39645887320586676,0.504298125624884,0
0.032,0.3006630516160779,-0.00020886091987828788,0.050271063721164626,0.040953104040747174,-0.012906958072470892,0.016619905551672066,1.2340699421366623,-0.38957530664701817,0.4892242027600159,0
0.04,0.30102992287557023,-0.0003245095695607986,0.05041951735155577,0.0507342344595671,-0.01599602625941164,0.02047340348229272,1.211212662568319,-0.38269174008816964,0.4741502798951478,0
0.048,0.30147431174546685,-0.0004646504906089521,0.0505983165998602,0.060332506641840276,-0.019030025913881605,0.024206310029994432,1.1883553829999756,-0.37580817352932105,0.45907635703027966,0
0.056,0.3019947553598755,-0.0006288431347629822,0.05080649673501456,0.06974792058756672,-0.02200895703588078,0.027818625194777194,1.1654981034316323,-0.36892460697047247,0.4440024341654115,0
0.064,0.30258979085290383,-0.0008166469537631224,0.05104309302595552,0.0789804762967464,-0.024932819625409167,0.03131034897664102,1.1426408238632888,-0.36204104041162394,0.42892851130054344,0
0.07200000000000001,0.30325795535865935,-0.001027621399349607,0.051307140741619704,0.08803017376937934,-0.027801613682466766,0.034681481375585896,1.1197835442949453,-0.35515747385277535,0.4138545884356753,0
0.08,0.30399778601124977,-0.0012613259232626686,0.051597675150943774,0.09689701300546552,-0.030615339207053574,0.03793202239161182,1.096926264726602,-0.3482739072939268,0.3987806655708072,0
0.088,0.3048078199447827,-0.0015173199772425415,0.051913731522864374,0.10558099400500497,-0.033373996199169594,0.041061972024718806,1.0740689851582585,-0.34139034073507823,0.3837067427059391,0
0.096,0.30568659429336575,-0.00179516301302946,0.05225434512631815,0.11408211676799765,-0.03607758465881482,0.04407133027490685,1.0512117055899153,-0.33450677417622965,0.368632819841071,0
0.10400000000000001,0.30663264619110653,-0.002094414482363657,0.05261855123024176,0.12240038129444362,-0.03872610458598927,0.046960097142175944,1.0283544260215718,-0.32762320761738106,0.3535588969762028,0
0.112,0.3076445127721127,-0.002414633836985366,0.053005385103571855,0.1305357875843428,-0.041319555980692924,0.04972827262652609,1.0054971464532283,-0.32073964105853253,0.3384849741113347,0
0.12,0.30872073117049187,-0.0027553805286348212,0.053413882015245065,0.13848833563769528,-0.043857938842925784,0.0523758567279573,0.9826398668848849,-0.31385607449968395,0.32341105124646663,0
0.128,0.3098598385203517,-0.0031162140090522563,0.05384307723419805,0.14625802545450098,-0.04634125317268787,0.05490284944646956,0.9597825873165415,-0.3069725079408354,0.30833712838159855,0
0.136,0.3110603719557998,-0.0034966937299779053,0.054292006029367464,0.15384485703475995,-0.048769498969979154,0.05730925078206288,0.936925307748198,-0.30008894138198683,0.2932632055167304,0
0.14400000000000002,0.3123208686109437,-0.0038963791431520017,0.05475970366968994,0.16124883037847215,-0.05114267623479966,0.059595060734737255,0.9140680281798547,-0.29320537482313824,0.27818928265186227,0
0.152,0.3136398656198912,-0.004314829700314778,0.05524520542410214,0.1684699454856376,-0.05346078496714936,0.061760279304492675,0.8912107486115114,-0.28632180826428966,0.2631153597869942,0
0.16,0.3150159001167498,-0.004751604853206469,0.05574754656154071,0.17550820235625633,-0.05572382516702829,0.06380490649132915,0.8683534690431679,-0.2794382417054411,0.2480414369221261,0
0.168,0.3164475092356272,-0.005206264053567309,0.05626576235094229,0.18236360099032828,-0.05793179683443642,0.06572894229524669,0.8454961894748245,-0.27255467514659254,0.23296751405725796,0
0.176,0.31793323011063096,-0.005678366753137529,0.05679888806124354,0.18903614138785352,-0.06008469996937377,0.06753238671624529,0.8226389099064811,-0.265671108587744,0.21789359119238988,0
0.184,0.3194715998758687,-0.006167472403657366,0.057345958961381095,0.19552582354883197,-0.06218253457184032,0.06921523975432492,0.7997816303381378,-0.2587875420288954,0.20281966832752174,0
0.192,0.32106115566544813,-0.006673140456867053,0.05790601032029162,0.2018326474732637,-0.0642253006418361,0.07077750140948563,0.7769243507697943,-0.25190397547004684,0.1877457454626536,0
0.2,0.32270043461347686,-0.007194930364506824,0.05847807740691175,0.2079566131611487,-0.06621299817936108,0.0722191716817274,0.7540670712014508,-0.24502040891119828,0.17267182259778546,0
0.20800000000000002,0.32438797385406243,-0.007732401578316908,0.059061195490178145,0.21389772061248694,-0.06814562718441528,0.0735402505710502,0.7312097916331074,-0.23813684235234972,0.15759789973291732,0
0.216,0.32612231052131246,-0.008285113550037542,0.05965439983902744,0.21965596982727842,-0.07002318765699868,0.07474073807745406,0.708352512064764,-0.23125327579350116,0.1425239768680493,0
0.224,0.3279019817493347,-0.008852625731408964,0.060256725722396286,0.22523136080552317,-0.07184567959711129,0.07582063420093899,0.6854952324964206,-0.2243697092346526,0.12745005400318116,0
0.232,0.32972552467223676,-0.009434497574171403,0.06086720840922134,0.23062389354722113,-0.07361310300475311,0.07677993894150495,0.6626379529280771,-0.21748614267580402,0.11237613113831307,0
0.24,0.3315914764241261,-0.01003028853006509,0.061484883168439246,0.2358335680523724,-0.07532545787992415,0.07761865229915199,0.6397806733597338,-0.21060257611695546,0.09730220827344499,0
0.248,0.33349837413911054,-0.010639558050830264,0.06210878526898665,0.24086038432097687,-0.0769827442226244,0.07833677427388008,0.6169233937913904,-0.2037190095581069,0.08222828540857685,0
0.256,0.3354447549512976,-0.01126186558820716,0.06273794997980021,0.24570434235303465,-0.07858496203285387,0.07893430486568923,0.594066114223047,-0.19683544299925831,0.06715436254370877,0
0.264,0.33742915599479495,-0.011896770593936007,0.06337141256981657,0.2503654421485456,-0.08013211131061254,0.07941124407457942,0.5712088346547035,-0.18995187644040973,0.05208043967884057,0
0.272,0.33945011440371026,-0.012543832519757039,0.06400820830797237,0.2548436837075099,-0.08162419205590042,0.07976759190055067,0.54835155508636,-0.18306830988156117,0.03700651681397249,0
0.28,0.34150616731215105,-0.01320261081741049,0.06464737246320426,0.2591390670299274,-0.08306120426871752,0.08000334834360297,0.5254942755180166,-0.1761847433227126,0.021932593949104295,0
0.28800000000000003,0.343595851854225,-0.0138726649386366,0.0652879403044489,0.2632515921157982,-0.08444314794906382,0.08011851340373635,0.5026369959496733,-0.16930117676386403,0.006858671084236212,0
0.296,0.34571770516403966,-0.014553554335175588,0.06592894710064293,0.2671812589651222,-0.08577002309693935,0.08011308708095077,0.47977971638133,-0.1624176102050155,-0.008215251780631871,0
0.304,0.3478702643757028,-0.015244838458767705,0.066569428120723,0.27092806757789945,-0.08704182971234406,0.07998706937524624,0.4569224368129867,-0.1555340436461669,-0.023289174645499955,0
0.312,0.35005206662332194,-0.015946076761153172,0.06720841863362575,0.27449201795413,-0.088258567795278,0.07974046028662277,0.43406515724464323,-0.14865047708731838,-0.03836309751036815,0
0.32,0.35226164904100477,-0.01665682869407223,0.06784495390828783,0.27787311009381377,-0.08942023734574117,0.07937325981508034,0.41120787767629974,-0.1417669105284698,-0.05343702037523612,0
0.328,0.3544975487628588,-0.01737665370926511,0.06847806921364592,0.2810713439969508,-0.09052683836373351,0.07888546796061896,0.38835059810795636,-0.1348833439696212,-0.06851094324010432,0
0.336,0.3567583029229918,-0.018105111258472046,0.06910679981863663,0.28408671966354104,-0.0915783708492551,0.07827708472323867,0.365493318539613,-0.12799977741077262,-0.0835848661049724,0
0.34400000000000003,0.3590424486555114,-0.01884176079343327,0.06973018099219662,0.2869192370935846,-0.0925748348023059,0.07754811010293941,0.3426360389712695,-0.12111621085192403,-0.0986587889698406,0
0.352,0.36134852309452503,-0.019586161765889013,0.07034724800326254,0.2895688962870814,-0.09351623022288588,0.07669854409972124,0.3197787594029262,-0.11423264429307556,-0.11373271183470857,0
0.36,0.3636750633741405,-0.02033787362757952,0.07095703612077103,0.29203569724403133,-0.09440255711099509,0.07572838671358406,0.2969214798345827,-0.10734907773422697,-0.12880663469957676,0
0.368,0.3660206066284654,-0.02109645583024501,0.07155858061365877,0.29431963996443467,-0.09523381546663351,0.07463763794452799,0.27406420026623945,-0.10046551117537839,-0.14388055756444484,0
0.376,0.36838368999160737,-0.021861467825625737,0.07215091675086237,0.2964207244482912,-0.09601000528980116,0.07342629779255297,0.25120692069789596,-0.0935819446165298,-0.15895448042931304,0
0.384,0.370762850597674,-0.022632469065461916,0.07273307980131849,0.298338950695601,-0.09673112658049798,0.072094366257659,0.22834964112955247,-0.08669837805768121,-0.17402840329418112,0
0.392,0.3731566255807729,-0.02340901900149378,0.0733041050339638,0.3000743187063641,-0.09739717933872405,0.07064184333984605,0.20549236156120898,-0.07981481149883268,-0.1891023261590492,0
0.4,0.3755635520750117,-0.024190677085461583,0.07386302771773492,0.3016268284805803,-0.09800816356447932,0.06906872903911421,0.1826350819928655,-0.0729312449399841,-0.2041762490239174,0
0.40800000000000003,0.37798216721449807,-0.024977002769105534,0.0744088831215685,0.30299648001824986,-0.09856407925776378,0.06737502335546339,0.15977780242452222,-0.06604767838113551,-0.21925017188878537,0
0.41600000000000004,0.38041100813333956,-0.025767555504165877,0.07494070651440123,0.30418327331937267,-0.09906492641857748,0.06556072628889362,0.13692052285617873,-0.05916411182228698,-0.23432409475365368,0
0.424,0.38284861196564385,-0.026561894742382845,0.07545753316516969,0.3051872083839488,-0.09951070504692039,0.06362583783940493,0.11406324328783546,-0.052280545263438394,-0.24939801761852154,0
0.432,0.3852935158455186,-0.027359579935496675,0.07595839834281057,0.3060082852119781,-0.09990141514279252,0.06157035800699728,0.09120596371949197,-0.04539697870458986,-0.26447194048338973,0
0.44,0.38774425690707137,-0.0281601705352476,0.07644233731626052,0.3066465038034606,-0.10023705670619382,0.05939428679167069,0.0683486841511487,-0.03851341214574128,-0.27954586334825793,0
0.448,0.3901993722844099,-0.028963225993375856,0.0769083853544562,0.30710186415839646,-0.10051762973712436,0.05709762419342515,0.045491404582805206,-0.031629845586892746,-0.294619786213126,0
0.456,0.39265739911164166,-0.02976830576162167,0.07735557772633421,0.3073743662767855,-0.10074313423558412,0.05468037021226069,0.022634125014461715,-0.02474627902804416,-0.3096937090779941,0
0.464,0.39511687452287425,-0.030574969291725283,0.07778294970083124,0.3074640101586278,-0.10091357020157307,0.05214252484817722,-0.00022315455388177696,-0.017862712469195574,-0.3247676319428622,0
0.47200000000000003,0.3975763356522155,-0.03138277603542692,0.07818953654688393,0.3073707958039234,-0.10102893763509124,0.04948408810117488,-0.02308043412222527,-0.010979145910346988,-0.3398415548077305,0
0.48,0.4000343196337729,-0.03219128544446682,0.07857437353342893,0.3070947232126723,-0.10108923653613863,0.04670505997125357,-0.04593771369056854,-0.004095579351498457,-0.35491547767259835,0
0.488,0.40248936360165416,-0.033000056970585216,0.07893649592940287,0.3066357923848743,-0.1010944669047152,0.043805440458413336,-0.06879499325891181,0.0027879872073500733,-0.36998940053746665,0
0.496,0.40494000468996677,-0.03380865006552233,0.07927493900374241,0.3059940033205296,-0.10104462874082101,0.040785229562654124,-0.0916522728272553,0.00967155376619866,-0.3850633234023346,0
