t,x,y,z,vx,vy,vz,ax,ay,az,type
0.0,0.2,0.2,0.7,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0
0.008,0.20000000007090876,0.19999999995272752,0.6999999998463643,2.6585171367130193e-08,-1.7723447578086794e-08,-5.760120462878208e-08,6.643936752901468e-06,-4.429291168600979e-06,-1.4395196297953178e-05,0
0.016,0.20000000056702574,0.19999999962198287,0.6999999987714443,1.0627963153811913e-07,-7.085308769207942e-08,-2.3027253499925807e-07,1.327642830898484e-05,-8.850952205989894e-06,-2.8765594669467155e-05,0
0.024,0.2000000019128877,0.19999999872474156,0.69999999585541,2.389918390635505e-07,-1.5932789270903367e-07,-5.178156513043593e-07,1.989748124217133e-05,-1.3264987494780888e-05,-4.311120935803787e-05,0
0.032,0.20000000453229913,0.19999999697846726,0.6999999901800185,4.2463030508892306e-07,-2.8308687005928204e-07,-9.200323276926664e-07,2.650710212638215e-05,-1.7671401417588098e-05,-5.743205460716131e-05,0
0.04,0.2000000088483329,0.1999999941011114,0.699999980828612,6.631035933546502e-07,-4.4206906223643355e-07,-1.4367244522684088e-06,3.310529753553848e-05,-2.2070198357025657e-05,-7.172814466033337e-05,0
0.048,0.2000000152833305,0.19999998981111303,0.6999999668861172,9.5432032019606e-07,-6.362135467973736e-07,-2.0676940270914636e-06,3.9692074043561544e-05,-2.64613826957077e-05,-8.599949376104999e-05,0
0.056,0.20000002425890243,0.1999999838273984,0.6999999474390447,1.2981891545433974e-06,-8.654594363622649e-07,-2.8127431681773607e-06,4.626743822437255e-05,-3.084495881624837e-05,-0.00010024611615280717,0
0.064,0.20000003619592882,0.19999997586938079,0.6999999215754875,1.694618817921819e-06,-1.129745878614546e-06,-3.671674105497274e-06,5.283139665189269e-05,-3.52209311012618e-05,-0.00011446802607910084,0
0.07200000000000001,0.20000005151455968,0.19999996565696024,0.6999998883851206,2.143518084451399e-06,-1.429012056300933e-06,-4.6442891829780305e-06,5.938395590004318e-05,-3.9589303933362124e-05,-0.00012866523778342688,0
0.08000000000000002,0.20000007063421538,0.1999999529105231,0.6999998469592,2.644795780847125e-06,-1.7631971872314168e-06,-5.730390858502103e-06,6.592512254274521e-05,-4.395008169516348e-05,-0.00014283776550928128,0
0.08800000000000002,0.20000009397358706,0.199999937350942,0.6999997963905614,3.1983607864189006e-06,-2.1322405242792673e-06,-6.9297817039076165e-06,7.245490315392e-05,-4.830326876928e-05,-0.00015698562350015998,0
0.09600000000000003,0.20000012195063704,0.19999991869957534,0.6999997357736197,3.804122033071542e-06,-2.5360813553810284e-06,-8.24226440498834e-06,7.897330430748873e-05,-5.264886953832584e-05,-0.00017110882599955893,0
0.10400000000000004,0.2000001549825993,0.19999989667826715,0.6999996642043682,4.461988505304784e-06,-2.974659003536523e-06,-9.667641761493698e-06,8.548033257737268e-05,-5.698688838491512e-05,-0.0001852073872509741,0
0.11200000000000004,0.2000001934859798,0.1999998710093468,0.699999580780377,5.171869240213276e-06,-3.447912826808851e-06,-1.1205716687128764e-05,9.197599453749295e-05,-6.131732969166197e-05,-0.00019928132149790137,0
0.12000000000000005,0.20000023787655705,0.19999984141562865,0.699999484600793,5.933673327486578e-06,-3.955782218324386e-06,-1.2856292209554253e-05,9.846029676177083e-05,-6.564019784118055e-05,-0.00021333064298383677,0
0.12800000000000006,0.20000028856938235,0.19999980762041178,0.6999993747663382,6.747309909409168e-06,-4.4982066062727785e-06,-1.4619171470386528e-05,0.0001049332458241275,-6.9955497216085e-05,-0.0002273553659522762,0
0.13600000000000007,0.2000003459787803,0.19999976934747982,0.6999992503793093,7.612688180860437e-06,-5.075125453906959e-06,-1.6494157725197613e-05,0.00011139484829848408,-7.42632321989894e-05,-0.00024135550464671548,0
0.14400000000000007,0.2000004105183493,0.19999972632110047,0.6999991105435764,8.5297173893147e-06,-5.686478259543133e-06,-1.8481054343515183e-05,0.00011784511075876194,-7.856340717250796e-05,-0.0002553310733106508,0
0.15200000000000008,0.20000048260096182,0.19999967826602547,0.6999989543645827,9.498306834841167e-06,-6.332204556560778e-06,-2.0579664808822526e-05,0.00012428403977888212,-8.285602651925476e-05,-0.0002692820861875779,0
0.1600000000000001,0.20000056263876492,0.19999962490749007,0.6999987809493426,1.051836587010399e-05,-7.012243913402662e-06,-2.2789792718558644e-05,0.00013071164193276597,-8.714109462184398e-05,-0.0002832085575209929,0
0.1680000000000001,0.20000065104318063,0.19999956597121293,0.699998589406442,1.1589803900362206e-05,-7.726535933574805e-06,-2.5111241784118115e-05,0.0001371279237943346,-9.141861586288975e-05,-0.00029711050155439167,0
0.1760000000000001,0.20000074822490638,0.19999950118339577,0.6999983788460361,1.2712530383469797e-05,-8.475020255646531e-06,-2.7543815830851223e-05,0.00014353289193750926,-9.568859462500617e-05,-0.00031098793253127,0
0.1840000000000001,0.20000085459391545,0.19999943027072306,0.6999981483798499,1.3886454829875628e-05,-9.25763655325042e-06,-3.008731879806386e-05,0.0001499265529362111,-9.99510352908074e-05,-0.000324840864695124,0
0.19200000000000012,0.20000097055945734,0.19999935296036178,0.6999978971211758,1.5111486802623514e-05,-1.0074324535082343e-05,-3.274155473901761e-05,0.00015630891336436135,-0.00010420594224290757,-0.00033866931228944956,0
0.20000000000000012,0.20000109653005824,0.19999926897996118,0.6999976241848738,1.638753591735216e-05,-1.0925023944901442e-05,-3.550632782092968e-05,0.0001626799797958813,-0.00010845331986392086,-0.00035247328955774276,0
0.20800000000000013,0.2000012329135214,0.1999991780576524,0.6999973286873703,1.7714511842295185e-05,-1.1809674561530123e-05,-3.83814423249729e-05,0.00016903975880469205,-0.00011269317253646137,-0.0003662528107434994,0
0.21600000000000014,0.2000013801169276,0.19999907992204827,0.6999970097466568,1.9092324298281144e-05,-1.2728216198854096e-05,-4.13667026462758e-05,0.00017538825696471481,-0.00011692550464314321,-0.00038000789009021537,0
0.22400000000000014,0.20000153854663555,0.199998974302243,0.6999966664822896,2.0520883058733487e-05,-1.3680588705822324e-05,-4.446191329392255e-05,0.00018172548084987084,-0.00012115032056658057,-0.0003937385418413868,0
0.23200000000000015,0.20000170860828226,0.19999886092781186,0.6999962980153884,2.2000097949670574e-05,-1.4666731966447052e-05,-4.7666878890952916e-05,0.00018805143703408127,-0.00012536762468938752,-0.0004074447802405094,0
0.24000000000000016,0.20000189070678356,0.19999873952881098,0.6999959034686356,2.3529878849705722e-05,-1.5686585899803814e-05,-5.0981404174362387e-05,0.00019436613209126744,-0.00012957742139417828,-0.00042112661953107934,0
0.24800000000000016,0.20000208524633448,0.19999860983577702,0.6999954819662753,2.5110135690047098e-05,-1.6740090460031402e-05,-5.4405293995102045e-05,0.00020066957259535037,-0.00013377971506356692,-0.0004347840739565924,0
0.25600000000000017,0.20000229263040964,0.19999847157972694,0.6999950326341124,2.6740778454497842e-05,-1.7827185636331892e-05,-5.7938353318078645e-05,0.00020696176512025144,-0.00013797451008016763,-0.00044841715776054475,0
0.2640000000000002,0.20000251326176366,0.1999983244921576,0.6999945545995121,2.8421717179455974e-05,-1.894781145297065e-05,-6.15803872221546e-05,0.00021324271623989168,-0.00014216181082659445,-0.00046202588518643193,0
0.2720000000000002,0.20000274754243166,0.19999816830504558,0.6999940469913981,3.015286195391443e-05,-2.010190796927629e-05,-6.533120090014793e-05,0.00021951243252819248,-0.00014634162168546168,-0.00047561027047775034,0
