t,x,y,z,vx,vy,vz,ax,ay,az,type
0.0,0.2,0.0,0.02,0.0,-0.0,0.0,0.0,-0.0,0.0,0
0.008,0.20000004736892307,-1.079291918120949e-08,0.02000007848832317,1.7695421185969967e-05,-4.031868118322253e-06,2.9320572362843858e-05,0.004398753787920053,-0.001002247698513425,0.007288550941461874,0
0.016,0.20000037685155006,-8.586491013760975e-08,0.020000624427247413,7.025834691017684e-05,-1.6008230941559208e-05,0.00011641514055335567,0.008699757491664104,-0.001982223225948774,0.014415134079786602,0
0.024,0.20000126480805377,-2.8818411351598195e-07,0.020002095734013053,0.00015690813966186506,-3.5751221695108333e-05,0.00025999022068414916,0.012903737877657254,-0.00294009217465607,0.021380953574499505,0
0.032,0.20000298136448008,-6.792982359639782e-07,0.020004939996167197,0.00027686998758334443,-6.308430096835668e-05,0.00045876198035127983,0.017011421712324604,-0.0038760201369853354,0.028187213306550985,0
0.04,0.2000057904594454,-1.3193451900851715e-06,0.02000959454891501,0.0004293749044699901,-9.783225671468085e-05,0.0007114562345377928,0.021023535762091258,-0.004790172705286594,0.034835116352065376,0
0.048,0.2000099498908343,-2.2670637343941048e-06,0.02001648655241698,0.0006136597297702425,-0.00013982120425144704,0.0010168084356796748,0.024940806793382307,-0.005682715471909867,0.04132586403481836,0
0.056,0.20001571136249716,-3.5798041132713424e-06,0.020026033068970883,0.0008289671285856076,-0.000188878586260011,0.001373563654133684,0.028763961572622863,-0.00655381402920518,0.04766065446556477,0
0.064,0.2000233205309476,-5.313538696918514e-06,0.020038641139984128,0.0010745455916706561,-0.000244833172785718,0.0017804765446400048,0.032493726866238005,-0.0074036339695225505,0.05384068049845616,0
0.07200000000000001,0.20003301705206022,-7.522872621313377e-06,0.02005470786260499,0.0013496494354330252,-0.00030751506123790305,0.00223631129389571,0.036130829440652865,-0.008232340885212007,0.059867127054989255,0
0.08000000000000002,0.20004503462776807,-1.0261054428164846e-05,0.02007462046584055,0.0016535388019334163,-0.0003767556763898906,0.0027398415440325887,0.03967599606229252,-0.009040100368623571,0.06574116778430714,0
0.08800000000000002,0.20005960105276027,-1.3579986704868064e-05,0.020098756385946732,0.001985479658885596,-0.00045238777037899443,0.0032898502866108652,0.04312995349758208,-0.009827078012107263,0.07146396104532643,0
0.09600000000000003,0.2000769382611796,-1.7530236724459435e-05,0.02012748334083223,0.002344743799656398,-0.0005342454227065187,0.00388512972168511,0.04649342851294663,-0.01059343940801311,0.07703664521117572,0
